Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-06,36.332752479491944,36.48158081150413,36.072300237210115,36.08160400390625,4433400,0.0,0
2019-03-07,36.062997929510445,36.165318067155916,35.69092534686276,35.93277359008789,4231300,0.0,0
2019-03-08,35.30025806691723,35.70023491636124,35.29095429924772,35.53280258178711,5066200,0.0,0
2019-03-11,35.56070479563437,35.98858582741733,35.532800590884726,35.94207763671875,6005400,0.0,0
2019-03-12,36.32344637028291,36.43506672500678,36.14671384627452,36.183921813964844,5580200,0.0,0
2019-03-13,36.48157473072155,36.68621143541219,36.295538459628176,36.47227096557617,6086400,0.0,0
2019-03-14,36.276937000500176,36.32344518442116,36.03509231510285,36.10950469970703,4935000,0.0,0
2019-03-15,36.65831319334287,37.27223050386477,36.65831319334287,36.88155746459961,8871300,0.0,0
2019-03-18,37.07689638810997,37.18851675680158,36.8722560885524,37.06759262084961,6290900,0.0,0
2019-03-19,37.18851556767226,37.281535495563844,36.8350469383791,36.9838752746582,8033600,0.0,0
2019-03-20,36.99318022450438,37.34664886509995,36.8722560885524,37.06759262084961,5394000,0.0,0
2019-03-21,37.43966190573125,38.36053962319468,37.411757703135976,38.174503326416016,6509600,0.0,0
2019-03-22,37.98846276516614,38.15589505863677,37.52337384960257,37.60708999633789,6759100,0.0,0
2019-03-25,37.2071178126112,37.63499881585289,36.99317731099036,37.1327018737793,4901800,0.0,0
2019-03-26,37.30944064007133,37.793133632255845,37.27223266797694,37.579193115234375,5573500,0.0,0
2019-03-27,37.38384656400316,37.44895872972233,37.021077769754356,37.393150329589844,7660300,0.0,0
2019-03-28,37.43036009458687,37.709412753704584,37.393152127145285,37.52337646484375,6632700,0.0,0
2019-03-29,37.96985807127872,38.18379854262761,37.76521781679423,38.10008239746094,6116300,0.0,0
2019-04-01,38.211715452078785,38.48146438598632,37.89545477765665,38.48146438598633,6834200,0.0,0
2019-04-02,38.30472683884678,38.47215914748134,38.13729453021222,38.38844299316406,5580200,0.0,0
2019-04-03,38.69540668571029,39.03027136204732,38.611690516626034,38.87214279174805,6821100,0.0,0
2019-04-04,38.816326472695245,39.234907271133565,38.74191407983253,39.10468292236328,7610300,0.0,0
2019-04-05,39.38373417325235,39.38373417325235,39.12328548518145,39.28141403198242,4430600,0.0,0
2019-04-08,39.29071607504865,39.52326055015386,39.1418877529152,39.430240631103516,6830300,0.0,0
2019-04-09,39.29071368691308,39.3465220866041,39.095373642953916,39.2628059387207,5049900,0.0,0
2019-04-10,39.3093124117289,39.53255664582493,39.234900032594695,39.4116325378418,4040200,0.0,0
2019-04-11,39.1511879109448,39.2535080475706,39.02096357282,39.16048812866211,5172200,0.0,0
2019-04-12,39.50465542160306,39.67208772269483,39.32791935470231,39.60697555541992,6555700,0.0,0
2019-04-15,39.60697967697852,39.783712213923316,39.49535576573693,39.634883880615234,5274400,0.0,0
2019-04-16,39.8395216189693,40.07206609664711,39.765105682905784,40.00695037841797,6639100,0.0,0
2019-04-17,40.83481460143416,41.35571199750717,40.79760663075827,41.29059982299805,15795700,0.0,0
2019-04-18,40.98363737445548,42.45331653324927,40.927825426015126,42.23007583618164,16569800,0.0,0
2019-04-22,41.662671077076865,42.00683592375899,41.47663477809965,41.997535705566406,10872000,0.0,0
2019-04-23,41.9975314027597,42.24867630004883,41.91381525421435,42.24867630004883,11437500,0.0,0
2019-04-24,41.93242300942924,42.40681219496599,41.80219511792868,42.2393798828125,10776800,0.0,0
2019-04-25,41.79289412713671,41.89521426582172,41.327805168275496,41.37431335449219,10149800,0.0,0
2019-04-26,40.60226421465766,40.92782503995491,40.2953038236515,40.872013092041016,12745000,0.0,0
2019-04-29,40.78829953215088,40.853411701341365,40.53715462147165,40.76969909667969,9272100,0.0,0
2019-04-30,40.36972203759488,40.872015403843236,40.23949415176316,40.76039505004883,11863900,0.0,0
2019-05-01,41.19757979590193,41.44872825319964,40.76039505004883,40.76039505004883,7319000,0.0,0
2019-05-02,40.7976031388414,41.36501222386774,40.69528300241408,41.29990005493164,10717200,0.0,0
2019-05-03,41.792897128001364,41.98823365314554,41.44873226726912,41.5882568359375,5479900,0.0,0
2019-05-06,40.29530900344718,40.76039798414103,40.192988859958966,40.704586029052734,10756400,0.0,0
2019-05-07,40.769701750829405,40.97433848945852,40.2674048000767,40.704586029052734,10225200,0.0,0
2019-05-08,40.481340894684664,40.92782584170159,40.42552894567744,40.648773193359375,8112600,0.0,0
2019-05-09,39.92323368222512,40.27670227703127,39.32792039519187,40.230194091796875,11229400,0.0,0
2019-05-10,39.86743515320644,40.08137569694875,39.244213962002384,39.83953094482422,8313900,0.0,0
2019-05-13,38.48146344253199,38.61168779674586,37.89545384856958,38.12799835205078,11046000,0.0,0
2019-05-14,38.68610123877067,39.141889997385384,38.50936870496148,39.03956985473633,7107800,0.0,0
2019-05-15,38.64889326901696,39.374434485825134,38.56517711124475,39.03956985473633,5347700,0.0,0
2019-05-16,38.72331091358755,38.73261113226183,38.34193807768766,38.63029098510742,9214700,0.0,0
2019-05-17,37.5698834521991,38.09078433473309,37.29083080197792,37.439659118652344,11271000,0.0,0
2019-05-20,36.50947934019749,36.55598752140737,35.83044995916231,35.96067428588867,13979700,0.0,0
2019-05-21,36.41646756525893,36.59320009545865,35.96067881595292,36.555992126464844,11806400,0.0,0
2019-05-22,36.46297447494807,36.639706998956456,36.17461804786872,36.183921813964844,12217600,0.0,0
2019-05-23,35.32815670966629,35.51419300193428,34.79795558312814,35.41187286376953,14708800,0.0,0
2019-05-24,35.737439341996165,36.0350995855095,35.53280258178711,35.53280258178711,10540700,0.0,0
2019-05-28,35.46768322511369,35.532795392234924,35.02119827270508,35.02119827270508,12484600,0.0,0
2019-05-29,34.84446631998523,35.114218786104374,34.58401762075152,35.058406829833984,13043000,0.0,0
2019-05-30,35.300252199898324,35.690925216741675,35.19793206262589,35.383968353271484,7351600,0.0,0
